"Trial number","trial code","growth rate","X00001[c]","C04033[c]","C00779[c]","C01173[c]","C01624[c]","C00083[c]","C17937DHN[e]","C05578[e]","C05579[e]","C01693[e]","C05604[e]","C00355[c]","C00822[c]","C00082[c]","C17937Eu[e]","C00544[c]","X00002[c]","C01179[c]","C17937Pyo[e]","C00353[c]","C03427[c]","C05421[c]","C05414[c]","C05430[c]","C05431[c]","C05432[c]","C05435[c]","C15867[c]","C08613[c]","C02094[c]","C19892[c]","C08607[c]","C00097[c]","Model Status"
27.00,"SSH",0.05746455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
28.00,"ESL",0.01436614,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
29.00,"ESM",0.02873228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
30.00,"ESH",0.05746455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
31.00,"ASL",0.01436614,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
32.00,"ASM",0.02873228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
33.00,"ASH",0.05746455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
34.00,"GSL",0.01436614,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
35.00,"GSM",0.02873228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
36.00,"GSH",0.05746455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-28.73227677,1.00
