#exchange reactions
R001ex	1 C00001[e] <->
R02315[c]	1 C00449[c] + 1 C00006[c] + 1 C00001[c] <-> 1 C00025[c] + 1 C04076[c] + 1 C00005[c] + 1 C00080[c]
R03102[c]	1 C04076[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00956[c] + 1 C00004[c] + 1 C00080[c]
R01939[c]	1 C00956[c] + 1 C00026[c] <-> 1 C00322[c] + 1 C00025[c]
R01940[c]	1 C00322[c] + 1 C15972[c] -> 1 C06157[c] + 1 C00011[c]
R02571[c]	1 C00527[c] + 1 C15973[c] <-> 1 C00010[c] + 1 C06157[c]
R02488[c]	1 C00527[c] + 1 C04253[c] -> 1 C00877[c] + 1 C04570[c] + 1 C00011[c]
R03026[c]	1 C01144[c] <- 1 C00877[c] + 1 C00001[c]
R01975[c]	1 C01144[c] + 1 C00003[c] <-> 1 C00332[c] + 1 C00004[c] + 1 C00080[c]
R00238[c]	1 C00010[c] + 1 C00332[c] -> 2 C00024[c]
#Glycolysis pathway
R00959[c]	1 C00103[c] <-> 1 C00668[c]
R01786[c]	1 C00002[c] + 1 C00267[c] -> 1 C00008[c] + 1 C00668[c]
R02740[c]	1 C00668[c] <-> 1 C05345[c]
R04779[c]	1 C00002[c] + 1 C05345[c] -> 1 C00008[c] + 1 C05378[c]
R04780[c]	1 C05378[c] + 1 C00001[c] -> 1 C05345[c] + 1 C00009[c]
R01070[c]	1 C05378[c] <-> 1 C00111[c] + 1 C00118[c]
R01015[c]	1 C00118[c] <-> 1 C00111[c]
R01061[c]	1 C00118[c] + 1 C00009[c] + 1 C00003[c] <-> 1 C00236[c] + 1 C00004[c] + 1 C00080[c]
R01512[c]	1 C00002[c] + 1 C00197[c] <-> 1 C00008[c] + 1 C00236[c]
R01518[c]	1 C00631[c] <-> 1 C00197[c]
R00341[c]	1 C00002[c] + 1 C00036[c] -> 1 C00008[c] + 1 C00074[c] + 1 C00011[c]
R00658[c]	1 C00631[c] <-> 1 C00074[c] + 1 C00001[c]
R00200[c]	1 C00008[c] + 1 C00074[c] -> 1 C00002[c] + 1 C00022[c]
R00014[c]	1 C00022[c] + 1 C00068[c] -> 1 C05125[c] + 1 C00011[c]
R03270[c]	1 C05125[c] + 1 C15972[c] -> 1 C16255[c] + 1 C00068[c]
R07618[c]	1 C15973[c] + 1 C00003[c] <-> 1 C15972[c] + 1 C00004[c] + 1 C00080[c]
R02569[c]	1 C00024[c] + 1 C15973[c] <-> 1 C00010[c] + 1 C16255[c]
R00755[c]	1 C05125[c] -> 1 C00084[c] + 1 C00068[c]
R00754[c]	1 C00084[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00469[c] + 1 C00003[c]
R00710[c]	1 C00084[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C00033[c] + 1 C00004[c] + 1 C00080[c]
R00235[c]	1 C00002[c] + 1 C00033[c] + 1 C00010[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00024[c]
#Amino and neucleic acid sugar metabolism
R08193[c]	1 C00357[c] <-> 1 C04501[c]
R00416[c]	1 C00080[c] + 1 C04501[c] + 1 C00075[c] -> 1 C00013[c] + 1 C00043[c]
R00414[c]	1 C00043[c] + 1 C00001[c] -> 1 C00645[c] + 1 C00015[c]
R01207[c]	1 C00645[c] <-> 1 C00140[c]
R02335[c]	1 C00043[c] <-> 1 C00015[c] + 1 C00461[c]
R00100[c]	1 C00004[c] + 2 C00996[c] -> 1 C00003[c] + 2 C00999[c] + 1 C00080[c]
R00765[c]	1 C00352[c] + 1 C00001[c] <-> 1 C00085[c] + 1 C00014[c]
R01433[c]	1 C00181[c] <-> 1 C02352[c] + 1 C00001[c]
R02058[c]	1 C00024[c] + 1 C00352[c] <-> 1 C00010[c] + 1 C00357[c]
R02059[c]	1 C00357[c] + 1 C00001[c] -> 1 C00352[c] + 1 C00033[c]
R09009[c]	1 C00935[c] <-> 1 C18094[c]
R03078[c]	1 C18094[c] -> 1 C02474[c] + 1 C00015[c]
R01762[c]	1 C02474[c] + 1 C00001[c] -> 1 C00259[c]
R00501[c]	1 C00052[c] + 2 C00003[c] + 1 C00001[c] -> 1 C00617[c] + 2 C00004[c] + 2 C00080[c]
R02636[c]	1 C00617[c] -> 1 C00935[c] + 1 C00011[c]
#Unsaturated fatty acid synthesis
R07937[im]	1 C16169[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C16376[im]
R11043[im]	1 C00510[im] + 2 C00999[im] + 1 C00007[im] + 2 C00080[im] <-> 1 C02050[im] + 2 C00996[im] + 2 C00001[im]
R08176[im]	1 C00510[im] + 1 C00001[im] <-> 1 C00010[im] + 1 C00712[im]
R08174[im]	1 C00412[im] + 1 C00001[im] <-> 1 C00010[im] + 1 C01530[im]
R02224[im]	1 C00412[im] + 1 C00083[im] + 2 C00005[im] + 2 C00080[im] <-> 1 C02041[im] + 1 C00011[im] + 2 C00006[im] + 1 C00010[im] + 1 C00001[im]
R02222[im]	1 C16218[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C00412[im] + 1 C00006[im]
R08175[im]	1 C02041[im] + 1 C00001[im] <-> 1 C00010[im] + 1 C06425[im]
R08177[im]	1 C02050[im] + 1 C00001[im] <-> 1 C00010[im] + 1 C01595[im]
R08180[im]	1 C16169[im] + 1 C00001[im] <-> 1 C00010[im] + 1 C06429[im]
#Unsaturated fatty acid synthesis
R07758[c]	1 C00083[c] + 1 C00154[c] <-> 1 C16216[c] + 1 C00010[c] + 1 C00011[c]
R07759[c]	1 C16216[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C16217[c] + 1 C00006[c]
R07760[c]	1 C16217[c] <-> 1 C16218[c] + 1 C00001[c]
R07766[c]	1 C05752[c] + 1 C16240[c] -> 1 C16236[c] + 1 C00229[c]
#Triglycerol synthesis
R02687[c]	1 C00641[c] + 1 C00001[c] -> 1 C01885[c] + 1 C00162[c]
R01001[c]	1 C02291[c] + 1 C00001[c] -> 1 C00097[c] + 1 C00014[c] + 1 C00109[c]
R05209[c]	1 C00165[c] + 1 C00001[c] <-> 1 C01885[c] + 1 C00060[c]
R01369[c]	1 C00422[c] + 1 C00001[c] -> 1 C00080[c] + 1 C00165[c] + 1 C00060[c]
R02688[c]	1 C00641[c] + 1 C00001[c] <-> 1 C02112[c] + 1 C00162[c]
R02694[c]	1 C00605[c] + 1 C00641[c] <-> 1 C00010[c] + 1 C00422[c]
R02760[c]	1 C00605[c] + 1 C00681[c] <-> 1 C00010[c] + 1 C00416[c]
R03332[c]	1 C01194[c] + 1 C00001[c] <-> 1 C01177[c] + 1 C00641[c]
R03435[c]	1 C04637[c] + 1 C00001[c] <-> 1 C01245[c] + 1 C00641[c]
R04404[c]	1 C04637[c] + 1 C00001[c] -> 1 C01277[c] + 1 C00009[c]
R10952[c]	1 C01277[c] + 1 C00001[c] <-> 1 C01220[c] + 1 C00641[c]
R03394[c]	1 C01245[c] + 1 C00001[c] -> 1 C01220[c] + 1 C00009[c]
R05800[c]	1 C00002[c] + 1 C01245[c] -> 1 C00008[c] + 1 C11555[c]
R05801[c]	1 C00002[c] + 1 C11555[c] -> 1 C00008[c] + 1 C01284[c]
R10065[c]	2 C00002[c] + 1 C01245[c] -> 2 C00008[c] + 1 C01284[c]
R01309[c]	1 C00157[c] + 2 C00001[c] + 1 C00080[c] <-> 1 C00670[c] + 2 C00162[c]
R07291[c]	1 C04230[c] + 1 C00001[c] <-> 1 C00670[c] + 1 C00060[c]
R02744[c]	1 C00080[c] + 1 C00670[c] + 1 C00060[c] -> 1 C04233[c] + 1 C00001[c]
#Glycerolipid synthesis
R01752[c]	1 C00577[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C00258[c] + 1 C00004[c] + 1 C00080[c]
