#exchange reactions
R001ex	1 C00001[e] <->
R07618[im]	1 C15973[im] + 1 C00003[im] <-> 1 C15972[im] + 1 C00004[im] + 1 C00080[im]
R02569[im]	1 C00024[im] + 1 C15973[im] <-> 1 C00010[im] + 1 C16255[im]
R00344[im]	1 C00080[im] + 1 C00002[im] + 1 C00022[im] + 1 C00288[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00036[im]
R00341[im]	1 C00002[im] + 1 C00036[im] -> 1 C00008[im] + 1 C00074[im] + 1 C00011[im]
R00351[im]	1 C00024[im] + 1 C00001[im] + 1 C00036[im] -> 1 C00158[im] + 1 C00010[im]
R01325[im]	1 C00158[im] <-> 1 C00417[im] + 1 C00001[im]
R01900[im]	1 C00311[im] <-> 1 C00417[im] + 1 C00001[im]
R01899[im]	1 C00311[im] + 1 C00006[im] <-> 1 C05379[im] + 1 C00005[im] + 1 C00080[im]
R00268[im]	1 C05379[im] -> 1 C00026[im] + 1 C00011[im]
R00709[im]	1 C00311[im] + 1 C00003[im] -> 1 C00026[im] + 1 C00011[im] + 1 C00004[im] + 1 C00080[im]
R00621[im]	1 C00026[im] + 1 C00068[im] -> 1 C05381[im] + 1 C00011[im]
R03316[im]	1 C05381[im] + 1 C15972[im] -> 1 C16254[im] + 1 C00068[im]
R02570[im]	1 C00091[im] + 1 C15973[im] <-> 1 C00010[im] + 1 C16254[im]
R10343[im]	1 C00091[im] + 1 C00033[im] <-> 1 C00024[im] + 1 C00042[im]
R00405[im]	1 C00002[im] + 1 C00042[im] + 1 C00010[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00091[im]
R01082[im]	1 C00149[im] <-> 1 C00122[im] + 1 C00001[im]
R00267[im]	1 C00311[im] + 1 C00006[im] -> 1 C00026[im] + 1 C00011[im] + 1 C00005[im] + 1 C00080[im]
#Oxydative phosphorylation
R200[im]	1 C00004[im] -> 1 C00003[im] + 1 C00080[im] + 2 C05359[im]
R201[im]	1 C00016[im] + 2 C05359[im] + 2 C00080[im] -> 1 C01352[im]
R202[im]	2 C00080[im] + 1 C01352[im] -> 4 C00080[om] + 1 C00016[im] + 2 C05359[im]
R203[im]	0.5 C00007[im] + 4 C00080[im] + 2 C05359[im] -> 1 C00001[im] + 2 C00080[om]
R204[im]	1 C00009[im] + 1 C00008[im] + 3 C00080[om] -> 3 C00080[im] + 1 C00002[im] + 1 C00001[im]
R205[im]	2 C00004[im] + 10 C00080[im] + 0.5 C00007[im] -> 2 C00003[im] + 10 C00080[om] + 1 C00001[im] + 2 C05359[im]
R02164[im]	1 C00016[im] + 1 C00042[im] <-> 1 C01352[im] + 1 C00122[im]
#Pentose phosphate pathway
R01049[c]	1 C00002[c] + 1 C00117[c] <-> 1 C00020[c] + 1 C00119[c]
R01051[c]	1 C00002[c] + 1 C00121[c] <-> 1 C00008[c] + 1 C00117[c] + 1 C00080[c]
R01080[c]	1 C00299[c] + 1 C00001[c] <-> 1 C00106[c] + 1 C00121[c]
R01056[c]	1 C00117[c] <-> 1 C00199[c]
R01528[c]	1 C00345[c] + 1 C00006[c] -> 1 C00199[c] + 1 C00011[c] + 1 C00005[c] + 1 C00080[c]
R01529[c]	1 C00199[c] <-> 1 C00231[c]
R01827[c]	1 C05382[c] + 1 C00118[c] <-> 1 C00279[c] + 1 C05345[c]
R02035[c]	1 C01236[c] + 1 C00001[c] -> 1 C00345[c]
R02736[c]	1 C01172[c] + 1 C00006[c] -> 1 C01236[c] + 1 C00005[c] + 1 C00080[c]
R10221[c]	1 C00345[c] + 1 C00003[c] -> 1 C00199[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R10907[c]	1 C01172[c] + 1 C00003[c] -> 1 C01236[c] + 1 C00004[c] + 1 C00080[c]
#purine metabolism 
R02142[c]	1 C00385[c] + 1 C00119[c] -> 1 C00013[c] + 1 C00655[c] 
R02020[c]	1 C00044[c] + 1 C00342[c] -> 1 C00286[c] + 1 C00001[c] + 1 C00343[c] 
R02014[c]	1 C00002[c] + 1 C00342[c] -> 1 C00131[c] + 1 C00001[c] + 1 C00343[c] 
R02090[c]	1 C00002[c] + 1 C00362[c] <-> 1 C00008[c] + 1 C00361[c]
R01072[c]	1 C03090[c] + 1 C00013[c] + 1 C00025[c] <-> 1 C00064[c] + 1 C00119[c] + 1 C00001[c]
R00150[c]	1 C00002[c] + 1 C00014[c] + 1 C00011[c] -> 1 C00008[c] + 1 C00169[c]
R00089[c]	1 C00002[c] -> 1 C00575[c] + 1 C00013[c]
R04144[c]	1 C00002[c] + 1 C03090[c] + 1 C00037[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C03838[c]
R04325[c]	1 C00234[c] + 1 C03838[c] -> 1 C00101[c] + 1 C04376[c]
R04463[c]	1 C00002[c] + 1 C04376[c] + 1 C00064[c] + 1 C00001[c] -> 1 C00008[c] + 1 C00009[c] + 1 C04640[c] + 1 C00025[c]
R04208[c]	1 C04640[c] + 1 C00002[c] -> 1 C03373[c] + 1 C00008[c] + 2 C00080[c] + 1 C00009[c]
R04209[c]	1 C04751[c] <-> 1 C03373[c] + 1 C00011[c]
R04591[c]	1 C00002[c] + 1 C04751[c] + 1 C00049[c] -> 1 C00008[c] + 1 C00009[c] + 1 C04823[c]
R04559[c]	1 C04823[c] -> 1 C00122[c] + 1 C04677[c]
R06975[c]	1 C00058[c] + 1 C00002[c] + 1 C04677[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C04734[c]
R01127[c]	1 C04734[c] <-> 1 C00130[c] + 1 C00001[c]
R01130[c]	1 C00130[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00655[c] + 1 C00004[c] + 1 C00080[c]
R01135[c]	1 C00044[c] + 1 C00130[c] + 1 C00049[c] -> 1 C00035[c] + 1 C00009[c] + 1 C03794[c]
R01137[c]	1 C00002[c] + 1 C00206[c] -> 1 C00008[c] + 1 C00131[c]
R01138[c]	1 C00206[c] + 1 C00074[c] -> 1 C00131[c] + 1 C00022[c]
R01229[c]	1 C00242[c] + 1 C00119[c] ->  C00144[c] + 1 C00013[c]
R01230[c]	1 C00002[c] + 1 C00655[c] + 1 C00014[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00144[c]
R01231[c]	1 C00002[c] + 1 C00655[c] + 1 C00064[c] + 1 C00001[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00144[c] + 1 C00025[c]
R01857[c]	1 C00002[c] + 1 C00361[c] -> 1 C00008[c] + 1 C00286[c]
R01858[c]	1 C00361[c] + 1 C00074[c] -> 1 C00286[c] + 1 C00022[c]
R02422[c]	1 C00499[c] + 1 C00001[c] <-> 1 C00603[c] + 1 C00086[c]
R02425[c]	1 C02350[c] + 1 C00001[c] <-> 1 C00499[c]
R06601[c]	1 C11821[c] + 1 C00001[c] -> 1 C12248[c]
R02017[c]	1 C00342[c] + 1 C00008[c] -> 1 C00206[c] + 1 C00343[c] + 1 C00001[c] 
R01083[c]	1 C03794[c] -> 1 C00122[c] + 1 C00020[c]
R00509[c]	1 C00002[c] + 1 C00224[c] -> 1 C00008[c] + 1 C00053[c]
R00430[c]	1 C00035[c] + 1 C00074[c] -> 1 C00044[c] + 1 C00022[c]
R00330[c]	1 C00002[c] + 1 C00035[c] -> 1 C00008[c] + 1 C00044[c]
R00332[c]	1 C00002[c] + 1 C00144[c] -> 1 C00008[c] + 1 C00035[c]
R00181[c]	1 C00020[c] + 1 C00001[c] -> 1 C00130[c] + 1 C00014[c]
R00190[c]	1 C00147[c] + 1 C00119[c] -> 1 C00020[c] + 1 C00013[c]
R00087[c]	1 C00002[c] + 1 C00001[c] -> 1 C00020[c] + 1 C00013[c]
R00127[c]	1 C00002[c] + 1 C00020[c] -> 2 C00008[c]
R00131[c]	1 C00086[c] + 1 C00001[c] -> 1 C00011[c] + 2 C00014[c]
R02556[c]	1 C00559[c] + 1 C00001[c] <-> 1 C05512[c] + 1 C00014[c]
R02748[c]	1 C05512[c] + 1 C00009[c] -> 1 C00262[c] + 1 C00672[c]
R01863[c]	1 C00294[c] + 1 C00009[c] <-> 1 C00262[c] + 1 C00620[c]
R01560[c]	1 C00212[c] + 1 C00001[c] -> 1 C00294[c] + 1 C00014[c]
R01547[c]	1 C00002[c] + 1 C00360[c] <-> 1 C00008[c] + 1 C00206[c]
R00776[c]	1 C00603[c] <-> 1 C00048[c] + 1 C00086[c]
R01561[c]	1 C00212[c] + 1 C00009[c] <-> 1 C00147[c] + 1 C00620[c]
R00183[c]	1 C00020[c] + 1 C00001[c] -> 1 C00212[c] + 1 C00009[c]
R01126[c]	1 C00130[c] + 1 C00001[c] -> 1 C00294[c] + 1 C00009[c]
R02719[c]	1 C00655[c] + 1 C00001[c] -> 1 C01762[c] + 1 C00009[c]
R02297[c]	1 C01762[c] + 1 C00009[c] <-> 1 C00385[c] + 1 C00620[c]
R01769[c]	1 C00262[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C00385[c] + 1 C00027[c]
R01676[c]	1 C00242[c] + 1 C00001[c] -> 1 C00385[c] + 1 C00014[c]
R02147[c]	1 C00387[c] + 1 C00009[c] <-> 1 C00242[c] + 1 C00620[c]
R01227[c]	1 C00144[c] + 1 C00001[c] <-> 1 C00387[c] + 1 C00009[c]
R02088[c]	1 C00360[c] + 1 C00001[c] <-> 1 C00559[c] + 1 C00009[c]
R02557[c]	1 C00559[c] + 1 C00009[c] <-> 1 C00147[c] + 1 C00672[c]
R02089[c]	1 C00002[c] + 1 C00559[c] -> 1 C00008[c] + 1 C00360[c]
R02107[c]	1 C00385[c] + 1 C00001[c] + 1 C00007[c] -> 1 C00366[c] + 1 C00027[c]
R02106[c]	1 C00366[c] + 1 C00007[c] + 1 C00001[c] -> 1 C11821[c] + 1 C00027[c]
R03925[c]	1 C02350[c] <-> 1 C02348[c]
R06605[c]	1 C12248[c] + 1 C00080[c] <-> 1 C02348[c] + 1 C00011[c]
R02019[c]	1 C00035[c] + 1 C00342[c] -> 1 C00361[c] + 1 C00343[c] + 1 C00001[c]
#Pyramidine metabolism
R02023[c]	1 C00075[c] + 1 C00342[c] -> 1 C00460[c] + 1 C00001[c] + 1 C00343[c] 
R02022[c]	1 C00063[c] + 1 C00342[c] -> 1 C00458[c] + 1 C00001[c] + 1 C00343[c] 
R02371[c]	1 C00458[c] + 1 C00475[c] -> 1 C00705[c] + 1 C00055[c]
R02372[c]	1 C00460[c] + 1 C00475[c] -> 1 C01346[c] + 1 C00055[c]
R02327[c]	1 C00458[c] + 1 C00299[c] -> 1 C00705[c] + 1 C00105[c]
R02096[c]	1 C00459[c] + 1 C00475[c] -> 1 C00363[c] + 1 C00055[c]
R02097[c]	1 C00459[c] + 1 C00299[c] -> 1 C00363[c] + 1 C00105[c]
R00968[c]	1 C00044[c] + 1 C00299[c] -> 1 C00035[c] + 1 C00105[c]
R00517[c]	1 C00044[c] + 1 C00475[c] -> 1 C00035[c] + 1 C00055[c]
R00516[c]	1 C00075[c] + 1 C00475[c] -> 1 C00015[c] + 1 C00055[c]
R00575[c]	2 C00002[c] + 1 C00064[c] + 1 C00288[c] + 1 C00001[c] -> 2 C00008[c] + 1 C00009[c] + 1 C00025[c] + 1 C00169[c]
R02332[c]	1 C00460[c] + 1 C00299[c] -> 1 C01346[c] + 1 C00105[c]
R01548[c]	1 C00131[c] + 1 C00475[c] -> 1 C00206[c] + 1 C00055[c]
R01549[c]	1 C00131[c] + 1 C00299[c] -> 1 C00206[c] + 1 C00105[c]
R00967[c]	1 C00075[c] + 1 C00299[c] -> 1 C00015[c] + 1 C00105[c]
R00513[c]	1 C00002[c] + 1 C00475[c] -> 1 C00008[c] + 1 C00055[c]
R01397[c]	1 C00169[c] + 1 C00049[c] -> 1 C00009[c] + 1 C00438[c]
R01993[c]	1 C00337[c] + 1 C00001[c] <-> 1 C00438[c]
R01868[c]	1 C00337[c] + 1 C00016[c] <-> 1 C00295[c] + 1 C01352[c]
R01870[c]	1 C00295[c] + 1 C00119[c] <-> 1 C01103[c] + 1 C00013[c]
R00965[c]	1 C01103[c] -> 1 C00105[c] + 1 C00011[c]
R00158[c]	1 C00002[c] + 1 C00105[c] -> 1 C00008[c] + 1 C00015[c]
R00156[c]	1 C00002[c] + 1 C00015[c] -> 1 C00008[c] + 1 C00075[c]
R00571[c]	1 C00002[c] + 1 C00075[c] + 1 C00014[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00063[c]
R00570[c]	1 C00008[c] + 1 C00063[c] -> 1 C00002[c] + 1 C00112[c]
R02024[c]	1 C00342[c] + 1 C00112[c] -> 1 C00705[c] + 1 C00343[c] + 1 C00001[c]
R02016[c]	1 C00343[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00342[c] + 1 C00006[c]
R01878[c]	1 C00475[c] + 1 C00001[c] -> 1 C00299[c] + 1 C00014[c]
R02484[c]	1 C00526[c] + 1 C00009[c] <-> 1 C00106[c] + 1 C00672[c]
R00974[c]	1 C00380[c] + 1 C00001[c] -> 1 C00106[c] + 1 C00014[c]
R00511[c]	1 C00055[c] + 1 C00001[c] -> 1 C00475[c] + 1 C00009[c]
R02137[c]	1 C00475[c] + 1 C00001[c] -> 1 C00380[c] + 1 C00121[c]
R01876[c]	1 C00299[c] + 1 C00009[c] <-> 1 C00106[c] + 1 C00620[c]
R00964[c]	1 C00002[c] + 1 C00299[c] -> 1 C00008[c] + 1 C00105[c]
R00512[c]	1 C00002[c] + 1 C00055[c] <-> 1 C00008[c] + 1 C00112[c]
R00573[c]	1 C00002[c] + 1 C00075[c] + 1 C00064[c] + 1 C00001[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00063[c] + 1 C00025[c]
R01663[c]	1 C00239[c] + 1 C00001[c] -> 1 C00365[c] + 1 C00014[c]
R01665[c]	1 C00002[c] + 1 C00239[c] <-> 1 C00008[c] + 1 C00705[c]
R01880[c]	1 C00286[c] + 1 C00299[c] -> 1 C00361[c] + 1 C00105[c]
R02018[c]	1 C00342[c] + 1 C00015[c] -> 1 C01346[c] + 1 C00343[c] + 1 C00001[c]
R02098[c]	1 C00002[c] + 1 C00365[c] -> 1 C00008[c] + 1 C01346[c]
R02326[c]	1 C00002[c] + 1 C00705[c] -> 1 C00008[c] + 1 C00458[c]
R02331[c]	1 C00002[c] + 1 C01346[c] -> 1 C00008[c] + 1 C00460[c]
R02099[c]	1 C00002[c] + 1 C00526[c] -> 1 C00008[c] + 1 C00365[c]
R02101[c]	1 C00365[c] + 1 C00143[c] -> 1 C00415[c] + 1 C00364[c]
R02094[c]	1 C00002[c] + 1 C00364[c] -> 1 C00008[c] + 1 C00363[c]
R02093[c]	1 C00002[c] + 1 C00363[c] -> 1 C00008[c] + 1 C00459[c]
#Pyramidine metabolism
R00115[im]	1 C00127[im] + 1 C00080[im] + 1 C00005[im] -> 2 C00051[im] + 1 C00006[im] 
#One carbon pool by folate
R00941[c]	1 C00101[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00234[c] + 1 C00006[c] + 1 C00001[c]
R00939[c]	1 C00415[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00101[c] + 1 C00006[c]
R02301[c]	1 C00002[c] + 1 C03479[c] + 1 C00080[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00445[c]
R03940[c]	1 C02430[c] + 1 C00234[c] <-> 1 C00101[c] + 1 C03294[c]
R04326[c]	1 C03838[c] + 1 C00445[c] + 1 C00001[c] <-> 1 C00080[c] + 1 C04376[c] + 1 C00101[c]
R07168[c]	1 C00143[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00440[c] + 1 C00003[c]
R00943[c]	1 C00101[c] + 1 C00058[c] + 1 C00002[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00234[c]
R03940[im]	1 C02430[im] + 1 C00234[im] <-> 1 C00101[im] + 1 C03294[im]
R00943[im]	1 C00101[im] + 1 C00058[im] + 1 C00002[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00234[im]
R02300[im]	1 C00080[im] + 1 C03479[im] -> 1 C00445[im] + 1 C00001[im]
R02301[im]	1 C00002[im] + 1 C03479[im] + 1 C00080[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00445[im]
#Folate biosynthesis
R02237[c]	1 C00002[c] + 1 C00921[c] + 1 C00025[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00415[c]
R04241[c]	1 C00002[c] + 1 C00025[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C03541[c]
R09395[c]	1 C18239[c] + 2 C15814[c] <-> 1 C05924[c] + 2 C15810[c]
#Alanine, Aspartate, and Glutamate metabolism
R00483[c]	1 C00002[c] + 1 C00049[c] + 1 C00014[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00152[c]
R00243[c]	1 C00025[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00026[c] + 1 C00014[c] + 1 C00004[c] + 1 C00080[c]
R00248[c]	1 C00025[c] + 1 C00006[c] + 1 C00001[c] -> 1 C00026[c] + 1 C00014[c] + 1 C00005[c] + 1 C00080[c]
R00253[c]	1 C00002[c] + 1 C00025[c] + 1 C00014[c] -> 1 C00008[c] + 1 C00009[c] + 1 C00064[c]
R00093[c]	1 C00064[c] + 1 C00026[c] + 1 C00004[c] + 1 C00080[c] -> 2 C00025[c] + 1 C00003[c]
R00256[c]	1 C00064[c] + 1 C00001[c] -> 1 C00025[c] + 1 C00014[c]
R00261[c]	1 C00025[c] -> 1 C00334[c] + 1 C00011[c]
R00355[c]	1 C00049[c] + 1 C00026[c] -> 1 C00036[c] + 1 C00025[c]
R00369[c]	1 C00041[c] + 1 C00048[c] -> 1 C00022[c] + 1 C00037[c]
R00397[c]	1 C00049[c] + 1 C00080[c] <-> 1 C00041[c] + 1 C00011[c]
R00713[c]	1 C00232[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00042[c] + 1 C00004[c] + 1 C00080[c]
R00714[c]	1 C00232[c] + 1 C00006[c] + 1 C00001[c] -> 1 C00042[c] + 1 C00005[c] + 1 C00080[c]
R01086[c]	1 C03406[c] -> 1 C00122[c] + 1 C00062[c]
R01648[c]	1 C00334[c] + 1 C00026[c] -> 1 C00232[c] + 1 C00025[c]
R01954[c]	1 C00002[c] + 1 C00327[c] + 1 C00049[c] -> 1 C00020[c] + 1 C00013[c] + 1 C03406[c]
R10178[c]	1 C00334[c] + 1 C00022[c] <-> 1 C00232[c] + 1 C00041[c]
#Glycine, Serine, and Thrione metabolism
R02566[c]	1 C00576[c] + 1 C00006[c] + 1 C00001[c] -> 1 C00719[c] + 1 C00005[c] + 2 C00080[c]
R00372[c]	1 C00048[c] + 1 C00025[c] -> 1 C00037[c] + 1 C00026[c]
R00220[c]	1 C00065[c] -> 1 C00022[c] + 1 C00014[c]
R00366[c]	1 C00037[c] + 1 C00001[c] + 1 C00007[c] -> 1 C00048[c] + 1 C00014[c] + 1 C00027[c]
R00480[c]	1 C00002[c] + 1 C00049[c] -> 1 C00008[c] + 1 C03082[c]
R00582[c]	1 C01005[c] + 1 C00001[c] -> 1 C00065[c] + 1 C00009[c]
R00891[c]	1 C00065[c] + 1 C00283[c] -> 1 C00097[c] + 1 C00001[c]
R00996[c]	1 C00188[c] -> 1 C00109[c] + 1 C00014[c]
R01290[c]	1 C00065[c] + 1 C00155[c] -> 1 C02291[c] + 1 C00001[c]
R01513[c]	1 C00197[c] + 1 C00003[c] -> 1 C03232[c] + 1 C00004[c] + 1 C00080[c]
R01771[c]	1 C00002[c] + 1 C00263[c] -> 1 C00008[c] + 1 C01102[c]
R01773[c]	1 C00441[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00263[c] + 1 C00003[c]
R01775[c]	1 C00441[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00263[c] + 1 C00006[c]
R01800[c]	1 C00269[c] + 1 C00065[c] <-> 1 C00055[c] + 1 C02737[c]
R02291[c]	1 C00441[c] + 1 C00009[c] + 1 C00006[c] <-> 1 C03082[c] + 1 C00005[c] + 1 C00080[c]
R02529[c]	1 C01888[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00546[c] + 1 C00014[c] + 1 C00027[c]
R00674[c]	1 C00065[c] + 1 C00463[c] -> 1 C00078[c] + 1 C00001[c]
R04173[c]	1 C01005[c] + 1 C00026[c] <-> 1 C03232[c] + 1 C00025[c]
R08557[c]	1 C00114[c] + 1 C00003[c] -> 1 C00576[c] + 1 C00004[c] + 1 C00080[c]
R08558[c]	1 C00114[c] + 1 C00006[c] -> 1 C00576[c] + 1 C00005[c] + 1 C00080[c]
R01514[c]	1 C00002[c] + 1 C00258[c] -> 1 C00008[c] + 1 C00197[c]
R00221[c]	1 C00740[c] <-> 1 C00022[c] + 1 C00014[c]
R00588[c]	1 C00065[c] + 1 C00048[c] -> 1 C00168[c] + 1 C00037[c]
R00585[c]	1 C00065[c] + 1 C00022[c] -> 1 C00168[c] + 1 C00041[c]
R01466[c]	1 C01102[c] + 1 C00001[c] -> 1 C00188[c] + 1 C00009[c]
R06171[c]	1 C05519[c] <-> 1 C00037[c] + 1 C00084[c]
R10851[c]	1 C05519[c] + 1 C00006[c] -> 1 C03508[c] + 1 C00005[c] + 1 C00080[c]
R03758[c]	1 C03508[c] -> 1 C01888[c] + 1 C00011[c] 
R03815[c]	1 C02972[c] + 1 C00003[c] -> 1 C02051[c] + 1 C00004[c] + 1 C00080[c]
#Histidine metabolism
R01163[c]	1 C01929[c] + 1 C00001[c] + 1 C00003[c] -> 1 C00135[c] + 1 C00004[c] + 1 C00080[c]
R03012[c]	1 C00860[c] + 1 C00003[c] -> 1 C01929[c] + 1 C00004[c] + 1 C00080[c]
R03243[c]	1 C01100[c] + 1 C00026[c] <-> 1 C01267[c] + 1 C00025[c]
R03457[c]	1 C04666[c] -> 1 C01267[c] + 1 C00001[c]
R04640[c]	1 C04896[c] <-> 1 C04916[c]
R03013[c]	1 C01100[c] + 1 C00001[c] -> 1 C00860[c] + 1 C00009[c]
R04558[c]	1 C04916[c] + 1 C00064[c] -> 1 C04677[c] + 1 C04666[c] + 1 C00080[c] + 1 C00025[c]
R01071[c]	1 C00002[c] + 1 C00119[c] -> 1 C02739[c] + 1 C00013[c]
R04035[c]	1 C02739[c] + 1 C00001[c] -> 1 C02741[c] + 1 C00013[c]
R04037[c]	1 C02741[c] + 1 C00001[c] -> 1 C04896[c]
R00254[c]	1 C00025[c] + 1 C00014[c] + 1 C00011[c] <-> 1 C05829[c] + 1 C00001[c]
#Thiamine biosynthesis
R00619[c]	1 C00002[c] + 1 C00378[c] -> 1 C00020[c] + 1 C00068[c]
R02135[c]	1 C01081[c] + 1 C00001[c] <-> 1 C00378[c] + 1 C00009[c]
R10712[c]	1 C00080[c] + 1 C04752[c] + 1 C20247[c] <-> 1 C01081[c] + 1 C00013[c] + 1 C00011[c]
R10685[c]	1 C00003[c] + 1 C00037[c] + 1 C00283[c] <-> 1 C20784[c] + 1 C00153[c] + 3 C00001[c] + 1 C00080[c]
R04509[c]	1 C00002[c] + 1 C04556[c] -> 1 C00008[c] + 1 C04752[c]
R00174[c]	1 C00002[c] + 1 C00250[c] -> 1 C00008[c] + 1 C00018[c]
R10686[c]	1 C00018[c] + 1 C00135[c] -> 1 C04556[c]
R10711[c]	1 C20784[c] + 1 C00001[c] -> 1 C20247[c] + 1 C00020[c]
#Arginine and Proline metabolism
R03291[c]	1 C01157[c] + 1 C00003[c] -> 1 C04281[c] + 1 C00004[c] + 1 C00080[c]
R00551[c]	1 C00062[c] + 1 C00001[c] <-> 1 C00077[c] + 1 C00086[c]
R00671[c]	1 C00077[c] -> 1 C00148[c] + 1 C00014[c]
R01251[c]	1 C03912[c] + 1 C00005[c] + 1 C00080[c] -> 1 C00148[c] + 1 C00006[c]
R03313[c]	1 C01165[c] + 1 C00009[c] + 1 C00006[c] <-> 1 C03287[c] + 1 C00005[c] + 1 C00080[c]
R00178[c]	1 C00080[c] + 1 C00019[c] -> 1 C00011[c] + 1 C01137[c]
R01914[c]	1 C00315[c] + 1 C00007[c] + 1 C00001[c] -> 1 C00986[c] + 1 C00555[c] + 1 C00027[c]
R01920[c]	1 C01137[c] + 1 C00134[c] -> 1 C00170[c] + 1 C00315[c]
R02869[c]	1 C01137[c] + 1 C00315[c] -> 1 C00170[c] + 1 C00750[c]
R09076[c]	1 C00750[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C00315[c] + 1 C05665[c] + 1 C00027[c]
R00670[c]	1 C00077[c] -> 1 C00134[c] + 1 C00011[c]
R00239[c]	1 C00002[c] + 1 C00025[c] -> 1 C00008[c] + 1 C03287[c]
R03314[c]	1 C01165[c] <-> 1 C03912[c] + 1 C00001[c]
#Phenylalanine, Tryptophane, and tyrosine biosynthesis
R00985[im]	1 C00251[im] + 1 C00014[im] -> 1 C00108[im] + 1 C00022[im] + 1 C00001[im]
R00985[c]	1 C00251[c] + 1 C00014[c] -> 1 C00108[c] + 1 C00022[c] + 1 C00001[c]
R00986[c]	1 C00251[c] + 1 C00064[c] -> 1 C00108[c] + 1 C00022[c] + 1 C00025[c]
R01714[c]	1 C01269[c] <-> 1 C00251[c] + 1 C00009[c]
R01826[c]	1 C00074[c] + 1 C00279[c] + 1 C00001[c] <-> 1 C04691[c] + 1 C00009[c]
R02340[c]	1 C03506[c] <-> 1 C00463[c] + 1 C00118[c]
R02412[c]	1 C00002[c] + 1 C00493[c] <-> 1 C00008[c] + 1 C03175[c]
R02413[c]	1 C00493[c] + 1 C00006[c] <-> 1 C02637[c] + 1 C00005[c] + 1 C00080[c]
R03083[c]	1 C04691[c] <-> 1 C00944[c] + 1 C00009[c]
R03084[c]	1 C00944[c] <-> 1 C02637[c] + 1 C00001[c]
R03460[c]	1 C00074[c] + 1 C03175[c] <-> 1 C00009[c] + 1 C01269[c]
R01715[c]	1 C00251[c] <-> 1 C00254[c]
R00694[c]	1 C00079[c] + 1 C00026[c] <-> 1 C00166[c] + 1 C00025[c]
R00734[c]	1 C00082[c] + 1 C00026[c] <-> 1 C01179[c] + 1 C00025[c]
R03509[c]	1 C04302[c] -> 1 C01302[c]
R01073[c]	1 C04302[c] + 1 C00013[c] <-> 1 C00108[c] + 1 C00119[c]
R03508[c]	1 C01302[c] + 1 C00080[c] -> 1 C03506[c] + 1 C00011[c] + 1 C00001[c]
R01373[c]	1 C00254[c] <-> 1 C00166[c] + 1 C00001[c] + 1 C00011[c]
R01730[c]	1 C00254[c] + 1 C00006[c] <-> 1 C01179[c] + 1 C00011[c] + 1 C00005[c] + 1 C00080[c]
#phenylalanine metabolism
R02613[c]	1 C05332[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C00601[c] + 1 C00014[c] + 1 C00027[c]
R06942[c]	1 C14144[c] + 1 C00001[c] <-> 1 C14145[c]
R00829[c]	1 C00010[c] + 1 C02232[c] -> 1 C00091[c] + 1 C00024[c]
#Tryptophan metabolism
R03629[c]	1 C01598[c] + 1 C03024[c] + 1 C00007[c] <-> 1 C05643[c] + 1 C03161[c] + 1 C00001[c]
R04909[c]	1 C05638[c] + 1 C00011[c] <-> 1 C05651[c]
R00677[c]	1 C00078[c] + 1 C00001[c] + 1 C00007[c] -> 1 C00331[c] + 1 C00014[c] + 1 C00027[c]
R01974[c]	1 C00331[c] -> 1 C00637[c] + 1 C00011[c]
R02679[c]	1 C00080[c] + 1 C00637[c] + 1 C00004[c] -> 1 C00003[c] + 1 C00955[c]
R00678[c]	1 C00078[c] + 1 C00007[c] -> 1 C02700[c]
R01959[c]	1 C00001[c] + 1 C02700[c] -> 1 C00058[c] + 1 C00080[c] + 1 C00328[c]
R04293[c]	1 C04409[c] -> 1 C03722[c] + 1 C00001[c]
R03130[c]	1 C00019[c] + 1 C00978[c] -> 1 C00021[c] + 1 C01598[c]
