#exchange reactions
R001ex	1 h2o[e] <->
SACCD11	1 saccrp__L[c] + 1 nadp[c] + 1 h2o[c] <-> 1 glu__L[c] + 1 L2aadp6sa[c] + 1 nadph[c] + 1 h[c]
AASAD3m1	1 L2aadp6sa[c] + 1 nad[c] + 1 h2o[c] -> 1 L2aadp[c] + 1 nadh[c] + 1 h[c]
AATA1	1 L2aadp[c] + 1 akg[c] <-> 1 2oxoadp[c] + 1 glu__L[c]
R01940[c]	1 2oxoadp[c] + 1 C15972[c] -> 1 S_gtrdhdlp[c] + 1 co2[c]
R02571[c]	1 glutcoa[c] + 1 C15973[c] <-> 1 coa[c] + 1 S_gtrdhdlp[c]
R02488[c]	1 glutcoa[c] + 1 C04253[c] -> 1 b2coa[c] + 1 C04570[c] + 1 co2[c]
ECOAH11	1 3hbcoa[c] <- 1 b2coa[c] + 1 h2o[c]
HACD1i1	1 3hbcoa[c] + 1 nad[c] <-> 1 aacoa[c] + 1 nadh[c] + 1 h[c]
ACACT1x1	1 coa[c] + 1 aacoa[c] -> 2 accoa[c]
#Glycolysis pathway
R00959[c]	1 g1p[c] <-> 1 g6p_A[c]
R01786[c]	1 atp[c] + 1 glc__aD[c] -> 1 adp[c] + 1 g6p_A[c]
R02740[c]	1 g6p_A[c] <-> 1 f6p_B[c]
R04779[c]	1 atp[c] + 1 f6p_B[c] -> 1 adp[c] + 1 fdp_B[c]
R04780[c]	1 fdp_B[c] + 1 h2o[c] -> 1 f6p_B[c] + 1 pi[c]
R01070[c]	1 fdp_B[c] <-> 1 dhap[c] + 1 g3p[c]
TPI1	1 g3p[c] <-> 1 dhap[c]
GAPDHf1	1 g3p[c] + 1 pi[c] + 1 nad[c] <-> 1 13dpg[c] + 1 nadh[c] + 1 h[c]
PGKm1	1 atp[c] + 1 3pg[c] <-> 1 adp[c] + 1 13dpg[c]
PGM1	1 2pg[c] <-> 1 3pg[c]
PPCK1	1 atp[c] + 1 oaa[c] -> 1 adp[c] + 1 pep[c] + 1 co2[c]
ENOm1	1 2pg[c] <-> 1 pep[c] + 1 h2o[c]
PYK1	1 adp[c] + 1 pep[c] -> 1 atp[c] + 1 pyr[c]
PDHam1hi1	1 pyr[c] + 1 thmpp[c] -> 1 2ahethmpp[c] + 1 co2[c]
R03270[c]	1 2ahethmpp[c] + 1 C15972[c] -> 1 C16255[c] + 1 thmpp[c]
R07618[c]	1 C15973[c] + 1 nad[c] <-> 1 C15972[c] + 1 nadh[c] + 1 h[c]
R02569[c]	1 accoa[c] + 1 C15973[c] <-> 1 coa[c] + 1 C16255[c]
PDCh1	1 2ahethmpp[c] -> 1 acald[c] + 1 thmpp[c]
ALCD2x1	1 acald[c] + 1 nadh[c] + 1 h[c] -> 1 etoh[c] + 1 nad[c]
ALDD2x1	1 acald[c] + 1 nad[c] + 1 h2o[c] <-> 1 ac[c] + 1 nadh[c] + 1 h[c]
ACS1	1 atp[c] + 1 ac[c] + 1 coa[c] -> 1 amp[c] + 1 ppi[c] + 1 accoa[c]
#Amino and neucleic acid sugar metabolism
R08193[c]	1 acgam6p[c] <-> 1 C04501[c]
R00416[c]	1 h[c] + 1 C04501[c] + 1 utp[c] -> 1 ppi[c] + 1 uacgam[c]
UAG2EMA1	1 uacgam[c] + 1 h2o[c] -> 1 acmana[c] + 1 udp[c]
ACGAM2E1	1 acmana[c] <-> 1 acgam[c]
R02335[c]	1 uacgam[c] <-> 1 udp[c] + 1 chtn[c]
R00100[c]	1 nadh[c] + 2 ficytb5[c] -> 1 nad[c] + 2 focytb5[c] + 1 h[c]
G6PDA1	1 gam6p[c] + 1 h2o[c] <-> 1 C00085[c] + 1 nh4[c]
R01433[c]	1 xyl__D[c] <-> 1 C02352[c] + 1 h2o[c]
