#exchange reactions
R001ex	1 h2o[e] <->
R01790[c]	1 starch[c] + 1 h2o[c] -> 1 glc__D[c]
R904[c]	4 g1p[c] -> 1 glycogen[c] + 4 pi[c]
PGMT_B1	1 g1p_B[c] <-> 1 g6p_B[c]
#The Citric Acid (TCA) cycle
PDHam1hi1	1 pyr[im] + 1 thmpp[im] -> 1 2ahethmpp[im] + 1 co2[im]
R03270[im]	1 2ahethmpp[im] + 1 C15972[im] -> 1 C16255[im] + 1 thmpp[im]
R07618[im]	1 C15973[im] + 1 nad[im] <-> 1 C15972[im] + 1 nadh[im] + 1 h[im]
R02569[im]	1 accoa[im] + 1 C15973[im] <-> 1 coa[im] + 1 C16255[im]
PC1	1 h[im] + 1 atp[im] + 1 pyr[im] + 1 hco3[im] -> 1 adp[im] + 1 pi[im] + 1 oaa[im]
PPCK1	1 atp[im] + 1 oaa[im] -> 1 adp[im] + 1 pep[im] + 1 co2[im]
CS1	1 accoa[im] + 1 h2o[im] + 1 oaa[im] -> 1 cit[im] + 1 coa[im]
ACONTa1	1 cit[im] <-> 1 acon_C[im] + 1 h2o[im]
ACONTb1	1 icit[im] <-> 1 acon_C[im] + 1 h2o[im]
r04231	1 icit[im] + 1 nadp[im] <-> 1 HC01434[im] + 1 nadph[im] + 1 h[im]
r00821	1 HC01434[im] -> 1 akg[im] + 1 co2[im]
ICDHxm1	1 icit[im] + 1 nad[im] -> 1 akg[im] + 1 co2[im] + 1 nadh[im] + 1 h[im]
r01631	1 akg[im] + 1 thmpp[im] -> 1 HC01435[im] + 1 co2[im]
R03316[im]	1 HC01435[im] + 1 C15972[im] -> 1 C16254[im] + 1 thmpp[im]
R02570[im]	1 succoa[im] + 1 C15973[im] <-> 1 coa[im] + 1 C16254[im]
R10343[im]	1 succoa[im] + 1 ac[im] <-> 1 accoa[im] + 1 succ[im]
SUCOAS1	1 atp[im] + 1 succ[im] + 1 coa[im] -> 1 adp[im] + 1 pi[im] + 1 succoa[im]
FUM1	1 mal__L[im] <-> 1 fum[im] + 1 h2o[im]
ICDHym1	1 icit[im] + 1 nadp[im] -> 1 akg[im] + 1 co2[im] + 1 nadph[im] + 1 h[im]
#Oxydative phosphorylation
R200[im]	1 nadh[im] -> 1 nad[im] + 1 h[im] + 2 C05359[im]
R201[im]	1 fad[im] + 2 C05359[im] + 2 h[im] -> 1 fadh2[im]
R202[im]	2 h[im] + 1 fadh2[im] -> 4 h[om] + 1 fad[im] + 2 C05359[im]
R203[im]	0.5 o2[im] + 4 h[im] + 2 C05359[im] -> 1 h2o[im] + 2 h[om]
R204[im]	1 pi[im] + 1 adp[im] + 3 h[om] -> 3 h[im] + 1 atp[im] + 1 h2o[im]
R205[im]	2 nadh[im] + 10 h[im] + 0.5 o2[im] -> 2 nad[im] + 10 h[om] + 1 h2o[im] + 2 C05359[im]
R02164[im]	1 fad[im] + 1 succ[im] <-> 1 fadh2[im] + 1 fum[im]
#Pentose phosphate pathway
R01049[c]	1 atp[c] + 1 C00117[c] <-> 1 amp[c] + 1 prpp[c]
R01051[c]	1 atp[c] + 1 rib__D[c] <-> 1 adp[c] + 1 C00117[c] + 1 h[c]
URIH1	1 uri[c] + 1 h2o[c] <-> 1 ura[c] + 1 rib__D[c]
R01056[c]	1 C00117[c] <-> 1 ru5p__D[c]
GND1	1 6pgc[c] + 1 nadp[c] -> 1 ru5p__D[c] + 1 co2[c] + 1 nadph[c] + 1 h[c]
RPEh1	1 ru5p__D[c] <-> 1 xu5p__D[c]
R01827[c]	1 s7p[c] + 1 g3p[c] <-> 1 e4p[c] + 1 f6p_B[c]
PGL1	1 6pgl[c] + 1 h2o[c] -> 1 6pgc[c]
G6PBDH1	1 g6p_B[c] + 1 nadp[c] -> 1 6pgl[c] + 1 nadph[c] + 1 h[c]
R10221[c]	1 6pgc[c] + 1 nad[c] -> 1 ru5p__D[c] + 1 co2[c] + 1 nadh[c] + 1 h[c]
R10907[c]	1 g6p_B[c] + 1 nad[c] -> 1 6pgl[c] + 1 nadh[c] + 1 h[c]
#purine metabolism 
XPPT1	1 xan[c] + 1 prpp[c] -> 1 ppi[c] + 1 xmp[c]
RNTR21	1 gtp[c] + 1 trdrd[c] -> 1 dgtp[c] + 1 h2o[c] + 1 trdox[c]
RNTR11	1 atp[c] + 1 trdrd[c] -> 1 datp[c] + 1 h2o[c] + 1 trdox[c]
DGK11	1 atp[c] + 1 dgmp[c] <-> 1 adp[c] + 1 dgdp[c]
GLUPRT1	1 pram[c] + 1 ppi[c] + 1 glu__L[c] <-> 1 gln__L[c] + 1 prpp[c] + 1 h2o[c]
CBMKr1	1 atp[c] + 1 nh4[c] + 1 co2[c] -> 1 adp[c] + 1 cbp[c]
ADNCYC1	1 atp[c] -> 1 camp[c] + 1 ppi[c]
PRAGSr1	1 atp[c] + 1 pram[c] + 1 gly[c] <-> 1 adp[c] + 1 pi[c] + 1 gar[c]
R04325[c]	1 10fthf[c] + 1 gar[c] -> 1 thf[c] + 1 fgam[c]
R04463[c]	1 atp[c] + 1 fgam[c] + 1 gln__L[c] + 1 h2o[c] -> 1 adp[c] + 1 pi[c] + 1 C04640[c] + 1 glu__L[c]
R04208[c]	1 C04640[c] + 1 atp[c] -> 1 C03373[c] + 1 adp[c] + 2 h[c] + 1 pi[c]
R04209[c]	1 5aizc[c] <-> 1 C03373[c] + 1 co2[c]
R04591[c]	1 atp[c] + 1 5aizc[c] + 1 asp__L[c] -> 1 adp[c] + 1 pi[c] + 1 25aics[c]
R04559[c]	1 25aics[c] -> 1 fum[c] + 1 aicar[c]
AICART21	1 for[c] + 1 atp[c] + 1 aicar[c] <-> 1 adp[c] + 1 pi[c] + 1 fprica[c]
IMPC1	1 fprica[c] <-> 1 imp[c] + 1 h2o[c]
IMPD1	1 imp[c] + 1 nad[c] + 1 h2o[c] -> 1 xmp[c] + 1 nadh[c] + 1 h[c]
ADSS1	1 gtp[c] + 1 imp[c] + 1 asp__L[c] -> 1 gdp[c] + 1 pi[c] + 1 dcamp[c]
NDPK8m1	1 atp[c] + 1 dadp[c] -> 1 adp[c] + 1 datp[c]
DAPOP1	1 dadp[c] + 1 pep[c] -> 1 datp[c] + 1 pyr[c]
GUAPRT1	1 gua[c] + 1 prpp[c] -> C00144[c] + 1 C00013[c]
GMPS1	1 atp[c] + 1 xmp[c] + 1 nh4[c] -> 1 amp[c] + 1 ppi[c] + 1 gmp[c]
GMPS21	1 atp[c] + 1 xmp[c] + 1 gln__L[c] + 1 h2o[c] -> 1 amp[c] + 1 ppi[c] + 1 gmp[c] + 1 glu__L[c]
NDPK51	1 atp[c] + 1 dgdp[c] -> 1 adp[c] + 1 dgtp[c]
AGPOP1	1 dgdp[c] + 1 pep[c] -> 1 dgtp[c] + 1 pyr[c]
ALLTAHr1	1 alltt[c] + 1 h2o[c] <-> 1 urdglyc[c] + 1 urea[c]
R02425[c]	1 C02350[c] + 1 h2o[c] <-> 1 alltt[c]
HIUH1	1 5hiu[c] + 1 h2o[c] -> 1 5houdic[c]
RNDR11	1 trdrd[c] + 1 adp[c] -> 1 dadp[c] + 1 trdox[c] + 1 h2o[c]
ADSL1r1	1 dcamp[c] -> 1 fum[c] + 1 amp[c]
ADSK1	1 atp[c] + 1 aps[c] -> 1 adp[c] + 1 paps[c]
GTPOPm1	1 gdp[c] + 1 pep[c] -> 1 gtp[c] + 1 pyr[c]
NDPK11	1 atp[c] + 1 gdp[c] -> 1 adp[c] + 1 gtp[c]
GK11	1 atp[c] + 1 gmp[c] -> 1 adp[c] + 1 gdp[c]
AMPDA1	1 amp[c] + 1 h2o[c] -> 1 imp[c] + 1 nh4[c]
ADPT1	1 ade[c] + 1 prpp[c] -> 1 amp[c] + 1 ppi[c]
NTPP61	1 atp[c] + 1 h2o[c] -> 1 amp[c] + 1 ppi[c]
ADK1m1	1 atp[c] + 1 amp[c] -> 2 adp[c]
UREA1	1 urea[c] + 1 h2o[c] -> 1 co2[c] + 2 nh4[c]
DADA1	1 dad_2[c] + 1 h2o[c] <-> 1 din[c] + 1 nh4[c]
PUNP61	1 din[c] + 1 pi[c] -> 1 hxan[c] + 1 2dr1p[c]
PUNP51	1 ins[c] + 1 pi[c] <-> 1 hxan[c] + 1 r1p[c]
ADAe1	1 adn[c] + 1 h2o[c] -> 1 ins[c] + 1 nh4[c]
ATDAMh1	1 atp[c] + 1 damp[c] <-> 1 adp[c] + 1 dadp[c]
R00776[c]	1 urdglyc[c] <-> 1 glx[c] + 1 urea[c]
PUNP11	1 adn[c] + 1 pi[c] <-> 1 ade[c] + 1 r1p[c]
NTD71	1 amp[c] + 1 h2o[c] -> 1 adn[c] + 1 pi[c]
NTD11pp1	1 imp[c] + 1 h2o[c] -> 1 ins[c] + 1 pi[c]
NTD101	1 xmp[c] + 1 h2o[c] -> 1 xtsn[c] + 1 pi[c]
PUNP71	1 xtsn[c] + 1 pi[c] <-> 1 xan[c] + 1 r1p[c]
XAO2x1	1 hxan[c] + 1 o2[c] + 1 h2o[c] <-> 1 xan[c] + 1 h2o2[c]
GUAD_11	1 gua[c] + 1 h2o[c] -> 1 xan[c] + 1 nh4[c]
PUNP31	1 gsn[c] + 1 pi[c] <-> 1 gua[c] + 1 r1p[c]
NTD91	1 gmp[c] + 1 h2o[c] <-> 1 gsn[c] + 1 pi[c]
NTD61	1 damp[c] + 1 h2o[c] <-> 1 dad_2[c] + 1 pi[c]
PUNP21	1 dad_2[c] + 1 pi[c] <-> 1 ade[c] + 1 2dr1p[c]
DADNKn1	1 atp[c] + 1 dad_2[c] -> 1 adp[c] + 1 damp[c]
XAOx1	1 xan[c] + 1 h2o[c] + 1 o2[c] -> 1 urate[c] + 1 h2o2[c]
URO1	1 urate[c] + 1 o2[c] + 1 h2o[c] -> 1 5hiu[c] + 1 h2o2[c]
R03925[c]	1 C02350[c] <-> 1 C02348[c]
R06605[c]	1 5houdic[c] + 1 h[c] <-> 1 C02348[c] + 1 co2[c]
RNDR21	1 gdp[c] + 1 trdrd[c] -> 1 dgdp[c] + 1 trdox[c] + 1 h2o[c]
#Pyramidine metabolism
RNTR41	1 utp[c] + 1 trdrd[c] -> 1 dutp[c] + 1 h2o[c] + 1 trdox[c]
RNTR31	1 ctp[c] + 1 trdrd[c] -> 1 dctp[c] + 1 h2o[c] + 1 trdox[c]
DCTCP1	1 dctp[c] + 1 cytd[c] -> 1 dcdp[c] + 1 cmp[c]
DUTCP1	1 dutp[c] + 1 cytd[c] -> 1 dudp[c] + 1 cmp[c]
DCTUP1	1 dctp[c] + 1 uri[c] -> 1 dcdp[c] + 1 ump[c]
DTTGY1	1 dttp[c] + 1 cytd[c] -> 1 dtdp[c] + 1 cmp[c]
DTTUP1	1 dttp[c] + 1 uri[c] -> 1 dtdp[c] + 1 ump[c]
URIK21	1 gtp[c] + 1 uri[c] -> 1 gdp[c] + 1 ump[c]
CYTDK21	1 gtp[c] + 1 cytd[c] -> 1 gdp[c] + 1 cmp[c]
UTCY1	1 utp[c] + 1 cytd[c] -> 1 udp[c] + 1 cmp[c]
CBPS1	2 atp[c] + 1 gln__L[c] + 1 hco3[c] + 1 h2o[c] -> 2 adp[c] + 1 pi[c] + 1 glu__L[c] + 1 cbp[c]
DUTUP1	1 dutp[c] + 1 uri[c] -> 1 dudp[c] + 1 ump[c]
DATCY1	1 datp[c] + 1 cytd[c] -> 1 dadp[c] + 1 cmp[c]
DATUP1	1 datp[c] + 1 uri[c] -> 1 dadp[c] + 1 ump[c]
UTUP1	1 utp[c] + 1 uri[c] -> 1 udp[c] + 1 ump[c]
CYTDK11	1 atp[c] + 1 cytd[c] -> 1 adp[c] + 1 cmp[c]
ASPCT_11	1 cbp[c] + 1 asp__L[c] -> 1 pi[c] + 1 cbasp[c]
DHORTSn1	1 dhor__S[c] + 1 h2o[c] <-> 1 cbasp[c]
R01868[c]	1 dhor__S[c] + 1 fad[c] <-> 1 orot[c] + 1 fadh2[c]
ORPT1	1 orot[c] + 1 prpp[c] <-> 1 orot5p[c] + 1 ppi[c]
OMPDC1	1 orot5p[c] -> 1 ump[c] + 1 co2[c]
UMPKm1	1 atp[c] + 1 ump[c] -> 1 adp[c] + 1 udp[c]
NDPK21	1 atp[c] + 1 udp[c] -> 1 adp[c] + 1 utp[c]
CTPS11	1 atp[c] + 1 utp[c] + 1 nh4[c] -> 1 adp[c] + 1 pi[c] + 1 ctp[c]
NDPK31	1 adp[c] + 1 ctp[c] -> 1 atp[c] + 1 cdp[c]
RNDR31	1 trdrd[c] + 1 cdp[c] -> 1 dcdp[c] + 1 trdox[c] + 1 h2o[c]
TRDR1	1 trdox[c] + 1 nadph[c] + 1 h[c] -> 1 trdrd[c] + 1 nadp[c]
CYTD1	1 cytd[c] + 1 h2o[c] -> 1 uri[c] + 1 nh4[c]
DURIPP1	1 duri[c] + 1 pi[c] <-> 1 ura[c] + 1 2dr1p[c]
CSND1	1 csn[c] + 1 h2o[c] -> 1 ura[c] + 1 nh4[c]
NTD41	1 cmp[c] + 1 h2o[c] -> 1 cytd[c] + 1 pi[c]
CYTDH1	1 cytd[c] + 1 h2o[c] -> 1 csn[c] + 1 rib__D[c]
PYNP2r1	1 uri[c] + 1 pi[c] <-> 1 ura[c] + 1 r1p[c]
URIK11	1 atp[c] + 1 uri[c] -> 1 adp[c] + 1 ump[c]
CYTK1m1	1 atp[c] + 1 cmp[c] <-> 1 adp[c] + 1 cdp[c]
CTPS21	1 atp[c] + 1 utp[c] + 1 gln__L[c] + 1 h2o[c] -> 1 adp[c] + 1 pi[c] + 1 ctp[c] + 1 glu__L[c]
DCMPDA1	1 dcmp[c] + 1 h2o[c] -> 1 dump[c] + 1 nh4[c]
CYTK21	1 atp[c] + 1 dcmp[c] <-> 1 adp[c] + 1 dcdp[c]
DGTUP1	1 dgtp[c] + 1 uri[c] -> 1 dgdp[c] + 1 ump[c]
RNDR41	1 trdrd[c] + 1 udp[c] -> 1 dudp[c] + 1 trdox[c] + 1 h2o[c]
URIDK2r1	1 atp[c] + 1 dump[c] -> 1 adp[c] + 1 dudp[c]
NDPK7m1	1 atp[c] + 1 dcdp[c] -> 1 adp[c] + 1 dctp[c]
NDPK61	1 atp[c] + 1 dudp[c] -> 1 adp[c] + 1 dutp[c]
DURIK11	1 atp[c] + 1 duri[c] -> 1 adp[c] + 1 dump[c]
R02101[c]	1 dump[c] + 1 mlthf[c] -> 1 dhf[c] + 1 dtmp[c]
DTMPK1	1 atp[c] + 1 dtmp[c] -> 1 adp[c] + 1 dtdp[c]
NDPK4m1	1 atp[c] + 1 dtdp[c] -> 1 adp[c] + 1 dttp[c]
#Pyramidine metabolism
GTHOr1	1 gthox[im] + 1 h[im] + 1 nadph[im] -> 2 gthrd[im] + 1 nadp[im]
#One carbon pool by folate
R00941[c]	1 thf[c] + 1 nadph[c] + 1 h[c] -> 1 10fthf[c] + 1 nadp[c] + 1 h2o[c]
R00939[c]	1 dhf[c] + 1 nadph[c] + 1 h[c] -> 1 thf[c] + 1 nadp[c]
FTCL1	1 atp[c] + 1 5fthf[c] + 1 h[c] -> 1 adp[c] + 1 pi[c] + 1 methf[c]
R03940[c]	1 mettrna[c] + 1 10fthf[c] <-> 1 thf[c] + 1 fmettrna[c]
R04326[c]	1 gar[c] + 1 methf[c] + 1 h2o[c] <-> 1 h[c] + 1 fgam[c] + 1 thf[c]
R07168[c]	1 mlthf[c] + 1 nadh[c] + 1 h[c] -> 1 5mthf[c] + 1 nad[c]
R00943[c]	1 thf[c] + 1 for[c] + 1 atp[c] -> 1 adp[c] + 1 pi[c] + 1 10fthf[c]
R03940[im]	1 mettrna[im] + 1 10fthf[im] <-> 1 thf[im] + 1 fmettrna[im]
R00943[im]	1 thf[im] + 1 for[im] + 1 atp[im] -> 1 adp[im] + 1 pi[im] + 1 10fthf[im]
THFAT1	1 h[im] + 1 5fthf[im] -> 1 methf[im] + 1 h2o[im]
FTCL1	1 atp[im] + 1 5fthf[im] + 1 h[im] -> 1 adp[im] + 1 pi[im] + 1 methf[im]
#Folate biosynthesis
DHFS1	1 atp[c] + 1 dhpt[c] + 1 glu__L[c] -> 1 adp[c] + 1 pi[c] + 1 dhf[c]
R04241[c]	1 atp[c] + 1 glu__L[c] <-> 1 adp[c] + 1 pi[c] + 1 C03541[c]
R09395[c]	1 C18239[c] + 2 C15814[c] <-> 1 mpt[c] + 2 C15810[c]
#Alanine, Aspartate, and Glutamate metabolism
ASNS21	1 atp[c] + 1 asp__L[c] + 1 nh4[c] -> 1 amp[c] + 1 ppi[c] + 1 asn__L[c]
GLUDxi1	1 glu__L[c] + 1 nad[c] + 1 h2o[c] -> 1 akg[c] + 1 nh4[c] + 1 nadh[c] + 1 h[c]
GDH_nadp1	1 glu__L[c] + 1 nadp[c] + 1 h2o[c] -> 1 akg[c] + 1 nh4[c] + 1 nadph[c] + 1 h[c]
GLNS1	1 atp[c] + 1 glu__L[c] + 1 nh4[c] -> 1 adp[c] + 1 pi[c] + 1 gln__L[c]
GLUSx1	1 gln__L[c] + 1 akg[c] + 1 nadh[c] + 1 h[c] -> 2 glu__L[c] + 1 nad[c]
GLUNpp1	1 gln__L[c] + 1 h2o[c] -> 1 glu__L[c] + 1 nh4[c]
GLUDC1	1 glu__L[c] -> 1 4abut[c] + 1 co2[c]
ASPTA1	1 asp__L[c] + 1 akg[c] -> 1 oaa[c] + 1 glu__L[c]
AGTi1	1 ala__L[c] + 1 glx[c] -> 1 pyr[c] + 1 gly[c]
ASP4DC1	1 asp__L[c] + 1 h[c] <-> 1 ala__L[c] + 1 co2[c]
SSALxm1	1 sucsal[c] + 1 nad[c] + 1 h2o[c] -> 1 succ[c] + 1 nadh[c] + 1 h[c]
SSALy1	1 sucsal[c] + 1 nadp[c] + 1 h2o[c] -> 1 succ[c] + 1 nadph[c] + 1 h[c]
ARGSL1	1 argsuc[c] -> 1 fum[c] + 1 arg__L[c]
ABTA1	1 4abut[c] + 1 akg[c] -> 1 sucsal[c] + 1 glu__L[c]
ARGSS1	1 atp[c] + 1 citr__L[c] + 1 asp__L[c] -> 1 amp[c] + 1 ppi[c] + 1 argsuc[c]
R10178[c]	1 4abut[c] + 1 pyr[c] <-> 1 sucsal[c] + 1 ala__L[c]
#Glycine, Serine, and Thrione metabolism
BETALDHy1	1 betald[c] + 1 nadp[c] + 1 h2o[c] -> 1 glyb[c] + 1 nadph[c] + 2 h[c]
GLYTA_11	1 glx[c] + 1 glu__L[c] -> 1 gly[c] + 1 akg[c]
SERD_L1	1 ser__L[c] -> 1 pyr[c] + 1 nh4[c]
GLYOp1	1 gly[c] + 1 h2o[c] + 1 o2[c] -> 1 glx[c] + 1 nh4[c] + 1 h2o2[c]
ASPK_11	1 atp[c] + 1 asp__L[c] -> 1 adp[c] + 1 4pasp[c]
PSP_L1	1 pser__L[c] + 1 h2o[c] -> 1 ser__L[c] + 1 pi[c]
CYS1	1 ser__L[c] + 1 h2s[c] -> 1 cys__L[c] + 1 h2o[c]
THRD_L1	1 thr__L[c] -> 1 2obut[c] + 1 nh4[c]
R01290[c]	1 ser__L[c] + 1 hcys__L[c] -> 1 cyst__L[c] + 1 h2o[c]
PGCD1	1 3pg[c] + 1 nad[c] -> 1 3php[c] + 1 nadh[c] + 1 h[c]
HSK1	1 atp[c] + 1 hom__L[c] -> 1 adp[c] + 1 phom[c]
HSDxi1	1 aspsa[c] + 1 nadh[c] + 1 h[c] -> 1 hom__L[c] + 1 nad[c]
HSDy1	1 aspsa[c] + 1 nadph[c] + 1 h[c] -> 1 hom__L[c] + 1 nadp[c]
R01800[c]	1 cdpdag_cho[c] + 1 ser__L[c] <-> 1 cmp[c] + 1 ps_cho[c]
ASAD1	1 aspsa[c] + 1 pi[c] + 1 nadp[c] <-> 1 4pasp[c] + 1 nadph[c] + 1 h[c]
AMO1	1 aact[c] + 1 h2o[c] + 1 o2[c] <-> 1 mthgxl[c] + 1 nh4[c] + 1 h2o2[c]
TRPS21	1 ser__L[c] + 1 indole[c] -> 1 trp__L[c] + 1 h2o[c]
PSERT1	1 pser__L[c] + 1 akg[c] <-> 1 3php[c] + 1 glu__L[c]
CHOLD1	1 chol[c] + 1 nad[c] -> 1 betald[c] + 1 nadh[c] + 1 h[c]
R08558[c]	1 chol[c] + 1 nadp[c] -> 1 betald[c] + 1 nadph[c] + 1 h[c]
GLYCK1	1 atp[c] + 1 glyc__R[c] -> 1 adp[c] + 1 3pg[c]
SERD_D1	1 ser__D[c] <-> 1 pyr[c] + 1 nh4[c]
SPT_syn1	1 ser__L[c] + 1 glx[c] -> 1 hpyr[c] + 1 gly[c]
SPTix1	1 ser__L[c] + 1 pyr[c] -> 1 hpyr[c] + 1 ala__L[c]
THRS_11	1 phom[c] + 1 h2o[c] -> 1 thr__L[c] + 1 pi[c]
R06171[c]	1 athr__L[c] <-> 1 gly[c] + 1 acald[c]
ATHRDHr1	1 athr__L[c] + 1 nadp[c] -> 1 2aobut[c] + 1 nadph[c] + 1 h[c]
AOBUTDsm1	1 2aobut[c] -> 1 aact[c] + 1 co2[c]
GCCcm1	1 dhlpro[c] + 1 nad[c] -> 1 lpro[c] + 1 nadh[c] + 1 h[c]
#Histidine metabolism
R01163[c]	1 C01929[c] + 1 h2o[c] + 1 nad[c] -> 1 his__L[c] + 1 nadh[c] + 1 h[c]
R03012[c]	1 histd[c] + 1 nad[c] -> 1 C01929[c] + 1 nadh[c] + 1 h[c]
HSTPT1	1 hisp[c] + 1 akg[c] <-> 1 imacp[c] + 1 glu__L[c]
IGPDH1	1 eig3p[c] -> 1 imacp[c] + 1 h2o[c]
PRICIh1	1 prfp[c] <-> 1 prlp[c]
HPh1	1 hisp[c] + 1 h2o[c] -> 1 histd[c] + 1 pi[c]
IG3PS1	1 prlp[c] + 1 gln__L[c] -> 1 aicar[c] + 1 eig3p[c] + 1 h[c] + 1 glu__L[c]
ATPPRT1	1 atp[c] + 1 prpp[c] -> 1 prbatp[c] + 1 ppi[c]
PRATPP1	1 prbatp[c] + 1 h2o[c] -> 1 prbamp[c] + 1 ppi[c]
PRACHh1	1 prbamp[c] + 1 h2o[c] -> 1 prfp[c]
R00254[c]	1 glu__L[c] + 1 nh4[c] + 1 co2[c] <-> 1 C05829[c] + 1 h2o[c]
#Thiamine biosynthesis
R00619[c]	1 atp[c] + 1 C00378[c] -> 1 amp[c] + 1 thmpp[c]
R02135[c]	1 thmmp[c] + 1 h2o[c] <-> 1 C00378[c] + 1 pi[c]
R10712[c]	1 h[c] + 1 2mahmp[c] + 1 C20247[c] <-> 1 thmmp[c] + 1 ppi[c] + 1 co2[c]
R10685[c]	1 nad[c] + 1 gly[c] + 1 h2s[c] <-> 1 C20784[c] + 1 ncam[c] + 3 h2o[c] + 1 h[c]
R04509[c]	1 atp[c] + 1 C04556[c] -> 1 adp[c] + 1 2mahmp[c]
PYDXK1	1 atp[c] + 1 pydx[c] -> 1 adp[c] + 1 pydx5p[c]
R10686[c]	1 pydx5p[c] + 1 his__L[c] -> 1 C04556[c]
R10711[c]	1 C20784[c] + 1 h2o[c] -> 1 C20247[c] + 1 amp[c]
#Arginine and Proline metabolism
HPROa1	1 4hpro_LT[c] + 1 nad[c] -> 1 1p3h5c[c] + 1 nadh[c] + 1 h[c]
ARGN1	1 arg__L[c] + 1 h2o[c] <-> 1 orn[c] + 1 urea[c]
ORNCD1	1 orn[c] -> 1 pro__L[c] + 1 nh4[c]
P5CR1	1 1pyr5c[c] + 1 nadph[c] + 1 h[c] -> 1 pro__L[c] + 1 nadp[c]
G5SD1	1 glu5sa[c] + 1 pi[c] + 1 nadp[c] <-> 1 glu5p[c] + 1 nadph[c] + 1 h[c]
ADMDC1	1 h[c] + 1 amet[c] -> 1 co2[c] + 1 ametam[c]
R01914[c]	1 spmd[c] + 1 o2[c] + 1 h2o[c] -> 1 C00986[c] + 1 4abutn[c] + 1 h2o2[c]
SPMS1	1 ametam[c] + 1 ptrc[c] -> 1 5mta[c] + 1 spmd[c]
SPRMS1	1 ametam[c] + 1 spmd[c] -> 1 5mta[c] + 1 sprm[c]
POLYAO31	1 sprm[c] + 1 o2[c] + 1 h2o[c] <-> 1 spmd[c] + 1 aproa[c] + 1 h2o2[c]
ORNDC1	1 orn[c] -> 1 ptrc[c] + 1 co2[c]
GLU5Km1	1 atp[c] + 1 glu__L[c] -> 1 adp[c] + 1 glu5p[c]
G5SADrm1	1 glu5sa[c] <-> 1 1pyr5c[c] + 1 h2o[c]
#Phenylalanine, Tryptophane, and tyrosine biosynthesis
ATNS_nh41	1 chor[im] + 1 nh4[im] -> 1 anth[im] + 1 pyr[im] + 1 h2o[im]
ATNS_nh41	1 chor[c] + 1 nh4[c] -> 1 anth[c] + 1 pyr[c] + 1 h2o[c]
ANS1	1 chor[c] + 1 gln__L[c] -> 1 anth[c] + 1 pyr[c] + 1 glu__L[c]
CHRS1	1 3psme[c] <-> 1 chor[c] + 1 pi[c]
DDPA1	1 pep[c] + 1 e4p[c] + 1 h2o[c] <-> 1 2dda7p[c] + 1 pi[c]
TRPS31	1 3ig3p[c] <-> 1 indole[c] + 1 g3p[c]
SKK1	1 atp[c] + 1 skm[c] <-> 1 adp[c] + 1 skm5p[c]
SHK3Dr1	1 skm[c] + 1 nadp[c] <-> 1 3dhsk[c] + 1 nadph[c] + 1 h[c]
DHQS1	1 2dda7p[c] <-> 1 3dhq[c] + 1 pi[c]
DHQTi1	1 3dhq[c] <-> 1 3dhsk[c] + 1 h2o[c]
PSCVT1	1 pep[c] + 1 skm5p[c] <-> 1 pi[c] + 1 3psme[c]
CHORM1	1 chor[c] <-> 1 pphn[c]
PHETA11	1 phe__L[c] + 1 akg[c] <-> 1 phpyr[c] + 1 glu__L[c]
TYRTA1	1 tyr__L[c] + 1 akg[c] <-> 1 34hpp[c] + 1 glu__L[c]
PRAIi1	1 pran[c] -> 1 2cpr5p[c]
ANPRT1	1 pran[c] + 1 ppi[c] <-> 1 anth[c] + 1 prpp[c]
IGPS1	1 2cpr5p[c] + 1 h[c] -> 1 3ig3p[c] + 1 co2[c] + 1 h2o[c]
PPNDH1	1 pphn[c] <-> 1 phpyr[c] + 1 h2o[c] + 1 co2[c]
PPND21	1 pphn[c] + 1 nadp[c] <-> 1 34hpp[c] + 1 co2[c] + 1 nadph[c] + 1 h[c]
#phenylalanine metabolism
PEAMNOpp1	1 peamn[c] + 1 o2[c] + 1 h2o[c] <-> 1 pacald[c] + 1 nh4[c] + 1 h2o2[c]
R06942[c]	1 C14144[c] + 1 h2o[c] <-> 1 3hadpcoa[c]
3OXCOAT1	1 coa[c] + 1 oxadpcoa[c] -> 1 succoa[c] + 1 accoa[c]
#Tryptophan metabolism
R03629[c]	1 C01598[c] + 1 C03024[c] + 1 o2[c] <-> 1 C05643[c] + 1 C03161[c] + 1 h2o[c]
R04909[c]	1 5hxkynam[c] + 1 co2[c] <-> 1 C05651[c]
TRPOX1	1 trp__L[c] + 1 h2o[c] + 1 o2[c] -> 1 indpyr[c] + 1 nh4[c] + 1 h2o2[c]
INDPYRD1	1 indpyr[c] -> 1 id3acald[c] + 1 co2[c]
ALCD26xim1	1 h[c] + 1 id3acald[c] + 1 nadh[c] -> 1 nad[c] + 1 ind3eth[c]
TRPO21	1 trp__L[c] + 1 o2[c] -> 1 Lfmkynr[c]
FKYNH1	1 h2o[c] + 1 Lfmkynr[c] -> 1 for[c] + 1 h[c] + 1 Lkynr[c]
QUILSYN1	1 cmusa[c] -> 1 quln[c] + 1 h2o[c]
R03130[c]	1 amet[c] + 1 C00978[c] -> 1 ahcys[c] + 1 C01598[c]
KYN1	1 Lkynr[c] + 1 h2o[c] -> 1 anth[c] + 1 ala__L[c]
